h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
85064a77fffffff,0.023204543,0.0045369156,1.2727272727272727,59.683712,-37.57765,11,2024-11-17,high,-0.08537524
85064a83fffffff,0.035335712,0.00043211406,0.8095238095238095,59.903767,-36.302574,21,2024-11-17,high,-0.07324407
85064a87fffffff,0.03429891,0.001182651,1.0,59.752716,-36.31612,23,2024-11-17,high,-0.07428087
85064a8bfffffff,0.03375875,0.0012699272,0.8,59.989582,-36.558327,20,2024-11-17,high,-0.07482104
85064a8ffffffff,0.03247604,0.0032808029,0.75,59.833332,-36.562496,24,2024-11-17,high,-0.07610375
85064a93fffffff,0.029724998,0.0,1.0,59.9375,-35.937496,1,2024-11-17,low,-0.078854784
85064a97fffffff,0.032952882,0.0021689201,1.0769230769230769,59.830124,-36.032047,26,2024-11-17,high,-0.0756269
85064a9bfffffff,0.03298409,0.0003129037,2.0,60.0625,-36.263252,11,2024-11-17,high,-0.07559569
85064aabfffffff,0.026162498,0.0023962858,2.0,59.618053,-36.88194,6,2024-11-17,high,-0.08241729
85064ab3fffffff,0.03136,0.0013062991,1.3,59.625,-36.30416,10,2024-11-17,high,-0.077219784
85064abbfffffff,0.031847056,0.0013193833,1.3529411764705883,59.6875,-36.550243,17,2024-11-17,high,-0.076732725
85064ac3fffffff,0.034483332,0.00033900962,0.0,60.215275,-36.79166,24,2024-11-17,high,-0.074096456
85064ac7fffffff,0.034406576,0.0005659829,0.8421052631578947,60.060303,-36.790565,19,2024-11-17,high,-0.07417321
85064acbfffffff,0.034305207,0.0009168405,0.125,60.29861,-37.04166,24,2024-11-17,high,-0.07427458
85064acffffffff,0.03468125,0.0002962343,0.0,60.145832,-37.041664,20,2024-11-17,high,-0.07389854
85064ad3fffffff,0.033030882,0.0011238714,0.29411764705882354,60.297794,-36.533085,17,2024-11-17,high,-0.0755489
